date,ouv,haut,bas,clot,vol,devise
23/03/2015,11723.71,11723.71,11626.82,11669,0,Pts
24/03/2015,11642.84,11786.98,11624.24,11752.31,0,Pts
25/03/2015,11717.67,11750.06,11578.16,11596.9,0,Pts
26/03/2015,11531.22,11563.08,11392.29,11563.08,0,Pts
27/03/2015,11594.81,11660.15,11556.07,11627.08,0,Pts
30/03/2015,11669.1,11774,11653.19,11741.32,0,Pts
31/03/2015,11719.32,11776.61,11613.95,11626.11,0,Pts
01/04/2015,11570.65,11804.3,11566.15,11692.13,0,Pts
02/04/2015,11705.61,11734.42,11685.65,11719.66,0,Pts
03/04/2015,11719.7,11719.7,11719.7,11719.7,0,Pts
06/04/2015,11719.7,11719.7,11719.7,11719.7,0,Pts
07/04/2015,11794.08,11933.61,11770.15,11897.62,0,Pts
08/04/2015,11887.43,11936.64,11844.48,11864.52,0,Pts
09/04/2015,11909.09,12031.04,11905.49,12031.04,0,Pts
10/04/2015,12066.31,12104.45,12034.99,12103.8,0,Pts
13/04/2015,12135.35,12155.26,12062.08,12135.35,0,Pts
14/04/2015,12131.56,12150.73,11993.93,12052.06,0,Pts
15/04/2015,12081.91,12170.85,12050.19,12135.88,0,Pts
16/04/2015,12118.33,12137.95,12044.86,12066.91,0,Pts
17/04/2015,12043.45,12100.22,11854.94,11879.31,0,Pts
20/04/2015,11906.22,11981.7,11897.4,11981.7,0,Pts
21/04/2015,12042.31,12130.87,11967.62,12013.53,0,Pts
22/04/2015,12055.31,12090.42,11906.26,12056.21,0,Pts
23/04/2015,12070.07,12091.1,11907.21,11981.77,0,Pts
24/04/2015,12036.66,12089.31,11953.78,12033.92,0,Pts
27/04/2015,12036.35,12232.55,11890.56,12198.59,0,Pts
28/04/2015,12176.09,12176.09,11901.63,11982.98,0,Pts
29/04/2015,11992.96,12052.94,11664.33,11674.98,0,Pts
30/04/2015,11698.21,11764.3,11574.65,11712.07,0,Pts
04/05/2015,11744.58,11866.1,11640.16,11794.41,0,Pts
05/05/2015,11788.13,11924.46,11546.19,11555.25,0,Pts
06/05/2015,11543.36,11648.07,11469.48,11574.62,0,Pts
07/05/2015,11501.52,11585.55,11336.72,11551.22,0,Pts
08/05/2015,11631.03,11850.87,11589.1,11842.45,0,Pts
11/05/2015,11811.05,11811.05,11713.11,11757.43,0,Pts
12/05/2015,11666.18,11676.83,11509.6,11632.99,0,Pts
13/05/2015,11687.58,11802.43,11566.44,11607.3,0,Pts
14/05/2015,11561.98,11798.94,11475.48,11765.08,0,Pts
15/05/2015,11813.87,11853.67,11618.17,11683.48,0,Pts
18/05/2015,11703.19,11770.66,11551.07,11739.13,0,Pts
19/05/2015,11807.33,12004.09,11807.33,11987.3,0,Pts
20/05/2015,11979.9,12056.67,11940.5,12043.23,0,Pts
21/05/2015,12014.09,12079.68,11974.46,12074.67,0,Pts
22/05/2015,12076.35,12094.8,12015.93,12065.73,0,Pts
25/05/2015,12058.14,12058.14,11963.06,12005.4,0,Pts
26/05/2015,12034.28,12088.61,11892.57,11942,0,Pts
27/05/2015,11994.45,12200.97,11948.66,12174.55,0,Pts
28/05/2015,12121.3,12137.72,11978.67,12075.68,0,Pts
29/05/2015,12073.79,12091.9,11765.65,11770.28,0,Pts
01/06/2015,11828.24,11902.15,11736.52,11819.43,0,Pts
02/06/2015,11887.68,11887.68,11673.17,11776.61,0,Pts
03/06/2015,11806.85,11978.39,11747.74,11848.74,0,Pts
04/06/2015,11782.88,11873.78,11572.23,11738.02,0,Pts
05/06/2015,11654.88,11688.46,11519.26,11581.76,0,Pts
08/06/2015,11571.41,11596.85,11457.24,11457.24,0,Pts
09/06/2015,11437.09,11482.6,11282.97,11439.69,0,Pts
10/06/2015,11400.95,11698.03,11354.96,11645.94,0,Pts
11/06/2015,11626.73,11851.72,11607.43,11732,0,Pts
12/06/2015,11710.39,11737.04,11450.95,11566.37,0,Pts
15/06/2015,11433.66,11495.28,11339.62,11363.82,0,Pts
16/06/2015,11276.15,11463.57,11206.56,11421.64,0,Pts
17/06/2015,11440.17,11469.17,11269.06,11310.12,0,Pts
18/06/2015,11280.11,11344.08,11129.29,11340.47,0,Pts
19/06/2015,11350.17,11498.13,11330.54,11368.55,0,Pts
22/06/2015,11631.23,11828.96,11596.35,11801.15,0,Pts
23/06/2015,11912.02,11989.78,11861.79,11940.63,0,Pts
24/06/2015,11947.47,11959.59,11808.2,11911.52,0,Pts
25/06/2015,11810.78,12023.98,11810.78,11917.21,0,Pts
26/06/2015,11842.77,12043.26,11785.25,11958.47,0,Pts
29/06/2015,11396.57,11692.44,11390.86,11510.92,0,Pts
30/06/2015,11462.63,11564.39,11321.21,11322.71,0,Pts
01/07/2015,11462.72,11680.61,11376.16,11542.51,0,Pts
02/07/2015,11584.33,11596.06,11429.73,11435.45,0,Pts
03/07/2015,11437.57,11463.45,11305.22,11370.78,0,Pts
06/07/2015,11138.09,11295.29,11114.56,11144.06,0,Pts
07/07/2015,11146.65,11174.83,10885.31,10891.22,0,Pts
08/07/2015,10908.29,11050.24,10884.19,10972.53,0,Pts
09/07/2015,11039.2,11298.68,11010.75,11252.11,0,Pts
10/07/2015,11552.09,11643.34,11473.79,11597.09,0,Pts
13/07/2015,11791.19,11851.38,11730.83,11821.85,0,Pts
14/07/2015,11815.37,11903.15,11781.44,11903.15,0,Pts
15/07/2015,11892.37,11956.28,11868.51,11938.09,0,Pts
16/07/2015,11996.4,12174.98,11986.81,12113.73,0,Pts
17/07/2015,12155.08,12155.08,12087.65,12120.56,0,Pts
20/07/2015,12143.68,12263.31,12136.12,12163.38,0,Pts
21/07/2015,12190.24,12198.26,12047.85,12078.41,0,Pts
22/07/2015,11993.51,12066.01,11993.51,12021.66,0,Pts
23/07/2015,12116.93,12116.93,11986.72,12031.51,0,Pts
24/07/2015,12004.34,12111.7,11947.32,11962.02,0,Pts
27/07/2015,11899.42,11906.41,11647.21,11655.1,0,Pts
28/07/2015,11728.09,11819.7,11678.97,11772.69,0,Pts
